Airport,Latitude,Longtitude
EFET,68.36444444,23.4275
EFHA,61.85638889,24.78916667
EFHK,60.31722222,24.96333333
EFIV,68.61083333,27.41388889
EFJO,62.65888889,29.62444444
EFJY,62.40083333,25.67277778
EFKE,65.77916667,24.58472222
EFKI,64.28416667,27.6875
EFKK,63.72027778,23.13916667
EFKS,65.99027778,29.23194444
EFKT,67.69861111,24.84805556
EFKU,63.00861111,27.79444444
EFLP,61.04583333,28.14861111
EFMA,60.12194444,19.89638889
EFMI,61.68638889,27.2
EFOU,64.92916667,25.35555556
EFPO,61.46138889,21.79777778
EFRO,66.56166667,25.83083333
EFSA,61.94277778,28.945
EFSI,62.69361111,22.83194444
EFTP,61.41527778,23.58777778
EFTU,60.51472222,22.26166667
EFUT,60.89638889,26.93805556
EFVA,63.04527778,21.76416667