Airport,Runway,Approach,Ground system,Type,DH,Visibility
EFET,03,RNP RWY 03,0,NPA,261,R1100
EFET,03,LPV RWY 03,0,CAT1,250,R1000
EFET,03,ILS RWY 21,1,CIRCLE,694,V1600
EFET,21,ILS RWY 21,1,CAT1,200,R550
EFET,21,LOC RWY 21,1,NPA,424,R1300
EFET,21,RNP RWY 21,0,NPA,328,R800
EFET,21,LPV RWY 21,0,CAT1,250,R750
EFHA,08,RNP RWY 08,0,NPA,435,R1400
EFHA,08,ILS RWY 26,1,CIRCLE,629,V1600
EFHA,08,LPV RWY 26,0,CAT1,250,R800
EFHA,26,ILS RWY 26,1,CAT1,200,R750
EFHA,26,LOC RWY 26,1,NPA,426,R1500
EFHA,26,RNP RWY 26,0,NPA,295,R1000
EFHA,26,LPV RWY 08,0,CAT1,352,R1000
EFHK,04L,LOC RWY 04L,1,NPA,366,R1000
EFHK,04L,RNP RWY 04L,0,NPA,294,R750
EFHK,04L ,ILS RWY 04L,1,CAT1,200,R550
EFHK,15,ILS RWY 15,1,CAT1,200,R550
EFHK,15,LOC RWY 15,1,NPA,437,R1300
EFHK,15,RNP RWY 15,0,NPA,306,R750
EFHK,22L,ILS RWY 22L,1,CAT1,200,R550
EFHK,22R,LOC RWY 22R,1,NPA,371,R1000
EFHK,22R,RNP RWY 22R,0,NPA,292,R750
EFHK,33,VOR RWY 33,1,NPA,433,R1500
EFHK,33,LPV RWY 33,0,CAT1,319,R1000
EFHK,33,RNP RWY 33,0,NPA,334,R1100
EFIV,04,RNP RWY 04,0,NPA,486,R1500
EFIV,04,ILS RWY 22,1,CIRCLE,998,V1600
EFIV,04,LPV RWY 04,0,CAT1,340,R800
EFIV,22,ILS RWY 22,1,CAT1,200,R550
EFIV,22,LOC RWY 22,1,NPA,446,R1400
EFIV,22,RNP RWY 22,0,NPA,493,R1500
EFIV,22,LPV RWY 22,0,CAT1,357,R900
EFJO,10,ILS RWY 28,1,CIRCLE,601,V1600
EFJO,10,LPV RWY 10,0,CAT1,297,R900
EFJO,10,RNP RWY 10,0,NPA,430,R1500
EFJO,10,LPV RWY 28,0,CAT1,298,R750
EFJO,28,ILS RWY 28,1,CAT1,200,R550
EFJO,28,LOC RWY 28,1,NPA,375,R1000
EFJO,28,RNP RWY 28,0,NPA,390,R1100
EFJY,12,RNP RWY 12,0,NPA,520,R1500
EFJY,12,VOR RWY 12,1,NPA,607,R1500
EFJY,30,ILS RWY 30,1,CAT1,200,R750
EFJY,30,LOC RWY 30,1,NPA,542,R1500
EFJY,30,RNP RWY 30,0,NPA,420,R1200
EFKE,18,ILS RWY 18,1,CAT1,200,R750
EFKE,18,LOC RWY 18,1,NPA,411,R1500
EFKE,18,RNP RWY 18,0,NPA,272,R900
EFKE,36,ILS RWY 18,1,CIRCLE,618,V1600
EFKE,36,RNP RWY 36,0,NPA,275,R750
EFKI,07,ILS RWY 07,1,CAT1,200,R550
EFKI,07,LOC RWY 07,1,NPA,389,R1100
EFKI,07,RNP RWY 07,0,NPA,319,R750
EFKI,07,LPV RWY 07,0,CAT1,263,R750
EFKI,25,ILS RWY 07,1,CIRCLE,596,V1600
EFKI,25,RNP RWY 25,0,NPA,375,R1300
EFKI,25,LPV RWY 25,0,CAT1,335,R1100
EFKK,01,RNP RWY 01,0,NPA,251,R1100
EFKK,01,LPV RWY 01,0,CAT1,250,R1000
EFKK,01,ILS RWY 19,1,CIRCLE,505,V1600
EFKK,19,ILS RWY 19,1,CAT1,200,R550
EFKK,19,LOC RWY 19,1,NPA,347,R900
EFKK,19,RNP RWY 19,0,NPA,250,R750
EFKK,19,LPV RWY 19,0,CAT1,250,R750
EFKS,12,ILS RWY 12,1,CAT1,200,R550
EFKS,12,LOC RWY 12,1,NPA,383,R1100
EFKS,12,RNP RWY 12,0,NPA,292,R750
EFKS,12,LPV RWY 12,0,CAT1,250,R750
EFKS,30,ILS RWY 12,1,CIRCLE,732,V1600
EFKS,30,RNP RWY 30,0,NPA,326,R800
EFKS,30,LPV RWY 30,0,CAT1,251,R750
EFKT,16,LOC RWY 16,1,NPA,447,R1500
EFKT,16,RNP RWY 16,0,NPA,580,R1500
EFKT,34,ILS RWY 34,1,CAT1,214,R550
EFKT,34,LOC RWY 34,1,NPA,455,R1400
EFKT,34,RNP RWY 34,0,NPA,455,R1400
EFKU,15,RNP RWY 15,0,NPA,271,R900
EFKU,15,VOR RWY 15,1,NPA,433,R1500
EFKU,15,LPV RWY 15,0,CAT1,273,R900
EFKU,33,ILS RWY 33,1,CAT1,200,R550
EFKU,33,LOC RWY 33,1,NPA,413,R1200
EFKU,33,RNP RWY 33,0,NPA,319,R750
EFKU,33,LPV RWY 33,0,CAT1,253,R750
EFLP,06,ILS RWY 06,1,CAT1,200,R550
EFLP,06,LOC RWY 06,1,NPA,371,R1000
EFLP,06,RNP RWY 06,0,NPA,307,R750
EFLP,06,LPV RWY 06,0,CAT1,254,R750
EFLP,24,ILS RWY 06,1,CIRCLE,671,V1600
EFLP,24,RNP RWY 24,0,NPA,336,R1100
EFLP,24,LPV RWY 24,0,CAT1,264,R900
EFMA,03,RNP RWY 03,0,NPA,304,R1400
EFMA,03,LPV RWY 03,0,CAT1,279,R1300
EFMA,03,VOR RWY 03,1,NPA,415,R1500
EFMA,21,ILS RWY 21,1,CAT1,200,R550
EFMA,21,LOC RWY 21,1,NPA,442,R1300
EFMA,21,LPV RWY 21,0,CAT1,275,R750
EFMI,11,ILS RWY 11,1,CAT1,200,R550
EFMI,11,LOC RWY 11,1,NPA,506,R1500
EFMI,11,RNP RWY 11,0,NPA,401,R1200
EFMI,11,LPV RWY 11,0,CAT1,317,R750
EFMI,29,ILS RWY 11,1,CIRCLE,560,V1600
EFMI,29,RNP RWY 29,0,NPA,410,R1500
EFMI,29,LPV RWY 29,0,CAT1,298,R1400
EFOU,12,ILS RWY 12,1,CAT1,200,R550
EFOU,12,LOC RWY 12,1,NPA,382,R1100
EFOU,12,RNP RWY 12,0,NPA,260,R750
EFOU,12,LPV RWY 12,0,CAT1,250,R750
EFOU,30,RNP RWY 30,0,NPA,287,R750
EFOU,30,LPV RWY 30,0,CAT1,267,R750
EFOU,30,VOR RWY 30,1,NPA,386,R1100
EFPO,12,RNP RWY 12,0,NPA,343,R1400
EFPO,12,VOR RWY 12,1,NPA,425,R1500
EFPO,12,LPV RWY 12,0,CAT1,263,R1100
EFPO,30,ILS RWY 30,1,CAT1,200,R550
EFPO,30,LOC RWY 30,1,NPA,404,R1200
EFPO,30,RNP RWY 30,0,NPA,261,R750
EFRO,03,RNP RWY 03,0,NPA,250,R750
EFRO,03,LPV RWY 03,0,CAT1,254,R750
EFRO,03,VOR RWY 03,1,NPA,386,R1100
EFRO,21,ILS RWY 21,1,CAT1,200,R550
EFRO,21,LOC RWY 21,1,NPA,400,R1100
EFRO,21,RNP RWY 21,0,NPA,262,R750
EFRO,21,LPV RWY 21,0,CAT1,296,R750
EFSA,12,ILS RWY 12,1,CAT1,200,R550
EFSA,12,LOC RWY 12,1,NPA,408,R1200
EFSA,12,RNP RWY 12,0,NPA,293,R750
EFSA,12,LPV RWY 12,0,CAT1,269,R750
EFSA,30,ILS RWY 12,1,CIRCLE,518,V1600
EFSA,30,RNP RWY 30,0,NPA,298,R1400
EFSA,30,LPV RWY 30,0,CAT1,250,R1300
EFSI,14,ILS RWY 32,1,CIRCLE,507,V1600
EFSI,14,RNP RWY 14,0,NPA,250,R800
EFSI,32,ILS RWY 32,1,CAT1,200,R550
EFSI,32,LOC RWY 32,1,NPA,376,R1000
EFSI,32,RNP RWY 32,0,NPA,264,R750
EFTP,06,LPV RWY 06,0,CAT1,251,R750
EFTP,06,RNP RWY 06,0,NPA,283,R750
EFTP,06,VOR RWY 06,1,NPA,389,R1100
EFTP,24,ILS RWY 24,1,CAT1,200,R550
EFTP,24,LOC RWY 24,1,NPA,493,R1500
EFTP,24,RNP RWY 24,0,NPA,331,R800
EFTP,24,LPV RWY 24,0,CAT1,275,R750
EFTU,08,RNP RWY 08,0,NPA,320,R1000
EFTU,08,VOR RWY 08,1,NPA,447,R1500
EFTU,08,LPV RWY 08,0,CAT1,268,R900
EFTU,26,ILS RWY 26,1,CAT1,200,R550
EFTU,26,LOC RWY 26,1,NPA,428,R1300
EFTU,26,RNP RWY 26,0,NPA,291,R750
EFTU,26,LPV RWY 26,0,CAT1,259,R750
EFUT,07,VOR RWY 07,1,NPA,381,R1400
EFUT,25,ILS RWY 25,1,CAT1,200,R550
EFUT,25,LOC RWY 25,1,NPA,400,R1100
EFVA,16,ILS RWY 16,1,CAT1,200,R550
EFVA,16,LOC RWY 16,1,NPA,379,R1000
EFVA,16,RNP RWY 16,0,NPA,320,R750
EFVA,16,LPV RWY 16,0,CAT1,250,R750
EFVA,34,VOR RWY 34,1,NPA,418,R1500
EFVA,34,RNP RWY 34,0,NPA,290,R900
EFVA,34,LPV RWY 34,0,CAT1,255,R800